author,title,sentence,sentence_nr,words,kind
"Twain, Mark",The Adventures of Tom Sawyer,A Days AmusementsTom Reveals a SecretThe Pirates take a LessonA Night SurpriseAn Indian War CHAPTER XVII,15,India,location
"Twain, Mark",The Adventures of Tom Sawyer,HARTFORD 1876,42,Hartford,location
"Twain, Mark",The Adventures of Tom Sawyer,A newcomer of any age or either sex was an impressive curiosity in the poor little shabby village of St Petersburg,142,St Petersburg,location
"Twain, Mark",The Adventures of Tom Sawyer,Cardiff Hill beyond the village and above it was green with vegetation and it lay just far enough away to seem a Delectable Land dreamy reposeful and inviting,223,Cardiff Hill,location
"Twain, Mark",The Adventures of Tom Sawyer,As he drew near he slackened speed took the middle of the street leaned far over to starboard and rounded to ponderously and with laborious pomp and circumstancefor he was personating the Big Missouri and considered himself to be drawing nine feet of water,267,Missouri,location
"Twain, Mark",The Adventures of Tom Sawyer,And while the late steamer Big Missouri worked and sweated in the sun the retired artist sat on a barrel in the shade close by dangled his legs munched his apple and planned the slaughter of more innocents,330,Missouri,location
"Twain, Mark",The Adventures of Tom Sawyer,There was no lack of material boys happened along every little while they came to jeer but remained to whitewash,331,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,There are wealthy gentlemen in England who drive fourhorse passengercoaches twenty or thirty miles on a daily line in the summer because the privilege costs them considerable money but if they were offered wages for the service that would turn it into work and then they would resign,341,England,location
"Twain, Mark",The Adventures of Tom Sawyer,Two of the children always remained for the sermon voluntarily and the other always remained toofor stronger reasons,484,Maine,location
"Twain, Mark",The Adventures of Tom Sawyer,The crowd filed up the aisles the aged and needy postmaster who had seen better days the mayor and his wifefor they had a mayor there among other unnecessaries the justice of the peace the widow Douglas fair smart and forty a generous goodhearted soul and welltodo her hill mansion the only palace in the town and the most hospitable and much the most lavish in the matter of festivities that St Petersburg could boast the bent and venerable Major and Mrs Ward lawyer Riverson the new notable from a distance next the belle of the village followed by a troop of lawnclad and ribbondecked young heartbreakers then all the young clerks in town in a bodyfor they had stood in the vestibule sucking their caneheads a circling wall of oiled and simpering admirers till the last girl had run their gantlet and last of all came the Model Boy Willie Mufferson taking as heedful care of his mother as if she were cut glass,588,St Petersburg,location
"Twain, Mark",The Adventures of Tom Sawyer,Mr Sprague turned himself into a bulletinboard and read off notices of meetings and societies and things till it seemed that the list would stretch out to the crack of dooma queer custom which is still kept up in America even in cities away here in this age of abundant newspapers,602,America,location
"Twain, Mark",The Adventures of Tom Sawyer,Mr Sprague turned himself into a bulletinboard and read off notices of meetings and societies and things till it seemed that the list would stretch out to the crack of dooma queer custom which is still kept up in America even in cities away here in this age of abundant newspapers,602,Prague,location
