"","author","title","word","n"
"1","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_a",1
"2","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_against",1
"3","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_ahh_",1
"4","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_all",4
"5","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_all_",1
"6","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_alter",1
"7","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_amateur_",1
"8","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_amount_",1
"9","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_and",1
"10","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_and_",1
"11","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_another_",1
"12","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_any_",2
"13","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_any_body",1
"14","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_anybody_",1
"15","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_are_",2
"16","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_at",1
"17","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_aw_",1
"18","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_be_",1
"19","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_begin_",1
"20","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_born_",1
"21","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_but",1
"22","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_but_",1
"23","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_buy_",2
"24","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_bzz_",1
"25","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_can_",1
"26","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_castle_",1
"27","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_cause_",1
"28","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_could_",2
"29","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_count_",1
"30","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_damsel_",1
"31","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_de_fensive",1
"32","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_did_",5
"33","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_didn't_",1
"34","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_do_",1
"35","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_dollar_",1
"36","Twain, Mark","A Connecticut Yankee in King Arthur's Court","_don't_",2
